Truth_Index	Predicted_Index	Truth_Nom	Predicted_Nom	Truth_Pages	Predicted_Pages	Distance	Quality
0	0	Bourgeois	Bourgeois (Général)	[296, 297, 402, 403, 547, 845, 598, 729, 1308, 1492, 1651, 1652, 1653]	[296, 297, 402, 403, 547, 598, 729, 1308, 1651, 1652, 1653]	0.3571	0.6429
1	1	Brager de La Ville-Moysan	Brager de La Ville-Moysan	[66, 96, 135, 248, 1012, 1167, 1426]	[66, 96, 135, 248, 1012, 1167, 1426]	0.0000	1.0000
2	2	Brard (Alfred)	Brard (Alfred)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
3	3	Brenier (Joseph)	Brenier (Joseph)	[481, 565, 567, 586, 591, 592, 643, 644, 709]	[481, 565, 567, 586, 591, 592, 643, 644, 709]	0.0000	1.0000
4	4	Briand	Briand, ministre des affaires étrangères	[230, 233, 690]	[230, 233, 690]	0.7391	0.2609
5	5	Brindeau	Brindeau	[96, 248, 507, 801, 862, 1593]	[96, 248, 507, 801, 862, 1593]	0.0000	1.0000
6	6	Buhan (Eugène)	Buhan (Eugène)	[829, 831, 1362, 1808]	[829, 831, 1362, 1808]	0.0000	1.0000
7	7	Cabart-Danneville	Cabart-Danneville	[1, 512, 654, 680, 876, 1691]	[1, 512, 654, 680, 876, 1691]	0.0000	1.0000
8	8	Cadilhon	Cadilhon	[1630]	[1630]	0.0000	1.0000
9	9	Cadot (Henri)	Cadot (Henri)	[28, 594, 596, 967, 968]	[28, 594, 596, 967, 968]	0.0000	1.0000
10	10	Caillaux (Joseph)	Caillaux (Joseph)	[46, 124, 399, 439, 749, 812, 1061, 1162, 1169, 1170, 1389, 1420, 1421, 1423, 1426, 1441, 1442, 1444, 1446, 1447, 1474, 1476, 1477, 1478, 1479, 1480, 1482, 1515, 1516, 1457]	[46, 124, 399, 439, 749, 812, 1061, 1162, 1169, 1170, 1420, 1421, 1423, 1426, 1441, 1442, 1444, 1446, 1447, 1474, 1476, 1477, 1478, 1479, 1480, 1482, 1515, 1516]	0.0000	1.0000
11	11	Calmel (Armand)	Calmel (Armand)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
12	12	Capus (Joseph)	Capus (Joseph)	[1344]	[1344]	0.0000	1.0000
13	13	Carrère (Gaston)	Carrère (Gaston)	[460, 480, 497, 562, 672, 763, 1333]	[460, 480, 497, 562, 672, 763, 1333]	0.0000	1.0000
14	14	Cassez (Emile)	Cassez (Emile)	[248, 491, 496, 499, 569, 570, 674, 863, 886, 938, 1389, 1320, 1670, 1721, 1728]	[248, 491, 496, 499, 569, 570, 674, 863, 886, 938, 1389, 1320, 1670, 1721, 1728]	0.0000	1.0000
15	15	Catalogne (Jacques)	Catalogne (Jacques)	[171, 173, 174]	[171, 173, 174]	0.0000	1.0000
16	16	Cathala	Cathala, sous-secrétaire d'Etat au ministère de l'intérieur	[305, 306, 460, 622, 623, 624, 625, 843, 761, 1286]	[305, 306, 460, 622, 623, 624, 625, 843, 761, 1286]	0.7879	0.2121
17	17	Cavillon (Edmond)	Cavilion (Edmond)	<renvoi d'index>	<renvoi d'index>	0.0588	0.9412
18	18	Champetier de Ribes	Champetier de Ribes, ministre des pensions	[600, 601, 852]	[600, 601, 852]	0.3770	0.6230
19	19	Chanal (Eugène)	Chanal (Eugène)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
20	20	Chappedelaine (de)	Chappedelaine (de), ministre de la marine marchande	[93, 509, 510, 511, 512, 513, 1520, 1699]	[93, 509, 510, 511, 512, 513, 1520, 1699]	0.4783	0.5217
21	21	Chapsal (Fernand)	Chapsal (Fernand)	[87, 97, 169, 870, 874, 1127, 1322, 1334, 1695, 1768]	[87, 97, 169, 870, 874, 1127, 1322, 1334, 1695, 1768]	0.0000	1.0000
22	22	Charabot (Eugène)	Charabot (Eugène)	[443]	[443]	0.0000	1.0000
23	23	Chassaing	Chassaing	[68, 441, 442, 446, 500, 552, 548, 577, 603, 847, 606, 661, 719, 772, 773, 824, 1644, 1666, 1668, 1691, 1720, 1725]	[68, 441, 442, 446, 500, 552, 548, 577, 603, 847, 606, 661, 719, 772, 773, 824, 1644, 1666, 1668, 1691, 1720, 1725]	0.0000	1.0000
24	24	Chauveau	Chauveau	[]	<renvoi d'index>	0.0000	1.0000
