Truth_Index	Predicted_Index	Truth_Nom	Predicted_Nom	Truth_Pages	Predicted_Pages	Ratcliff_Obershelp_Distance	IoU_Distance	Combined_Distance	Ratcliff_Obershelp_Quality	IoU_Quality	Combined_Quality
0	0	Lisbonne	Lisbonne	[342, 1153, 1192, 1327]	[312, 1153, 1192, 1327]	0.0000	0.4000	0.2000	1.0000	0.6000	0.8000
1	1	Loubet	Loubet	[7, 378, 450, 451, 1358, 1359, 1687]	[7, 378, 450, 451, 1358, 1359, 1687]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
2	2	Linyer (Louis)	Louis Linyer	[194, 659, 774, 1072, 1136, 1322, 1363, 1389]	[194, 659, 774, 1072, 1136, 1322, 1389, 1363]	0.5385	0.0000	0.2692	0.4615	1.0000	0.7308
3	3	Pasquet (Louis)	Louis Pasquet	[935]	[935]	0.5000	0.0000	0.2500	0.5000	1.0000	0.7500
4	4	Serre (Louis)	Louis Serre	[113, 114, 176, 342, 348, 349, 350, 413, 414, 415, 558, 607, 644, 670, 703, 725, 726, 759, 882, 991, 1244, 1356, 1367, 1441, 1461, 1462, 1475, 1476, 1480, 1481, 1532, 1551, 1666, 1668, 1673, 1677, 1678, 1680, 1815]	[113, 114, 176, 342, 318, 350, 413, 414, 415, 349, 558, 607, 644, 703, 759, 670, 725, 726, 882, 991, 1244, 1356, 1367, 1441, 1461, 1462, 1475, 1476, 1480, 1481, 1532, 1551, 1666, 1668, 1673, 1677, 1678, 1680, 1815]	0.5833	0.0500	0.3167	0.4167	0.9500	0.6833
5	5	Soulié (Louis)	Louis Soulie	[132, 160, 198, 966, 968, 984, 1066, 1127, 1388, 1389, 1527, 1532, 1538, 1680, 1723, 1760]	[132, 198, 966, 968, 1389, 160, 984, 1066, 1127, 1388, 1389, 1527, 1532, 1538, 1680, 1723, 1760]	0.6154	0.0000	0.3077	0.3846	1.0000	0.6923
6	6	Lubersac (Marquis de)	Lubersac (Marquis de)	[8, 389, 464, 466, 467, 489, 541, 548, 549, 1002]	[8, 389, 464, 466, 467, 489, 541, 548, 549, 1002]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
7	7	Ludre-Frolois (de)	Ludre-Frolois (de)	[1438]	[1438]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
8	8	Lugol (Georges)	Lugol (Georges)	[325, 339, 343, 344, 345, 346, 347, 348, 349, 350, 353, 361, 362, 373, 375, 381, 382, 383, 384, 411, 412, 413, 416, 417, 419, 420, 421, 423, 462, 463, 466, 1744, 1745, 1816, 1818, 1819]	[325, 339, 343, 344, 345, 346, 347, 348, 349, 350, 353, 361, 362, 373, 375, 381, 382, 383, 384, 412, 413, 416, 417, 419, 420, 421, 423, 462, 463, 466, 1744, 1745, 1816, 1818, 1819]	0.0000	0.0278	0.0139	1.0000	0.9722	0.9861
9	9	Machet (Georges-Emile)	Machet (Georges-Emile)	[8, 143]	[8, 143]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
10	10	Maginot	Maginot, ministre de la guerre	[1010, 1308]	[1010, 1308]	0.6216	0.0000	0.3108	0.3784	1.0000	0.6892
11	11	Mahieu (Albert)	Mahieu (Albert)	<renvoi d'index>	[1438]	0.0000	1.0000	0.5000	1.0000	0.0000	0.5000
12	12	Manceau (Anatole)	Manceau (Anatole)	<renvoi d'index>	[1438]	0.0000	1.0000	0.5000	1.0000	0.0000	0.5000
13	13	Mando	Mando	[189]	[189]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
14	14	Michel (Marcel)	Marcel Michel	[499, 702, 703, 852, 899, 1220]	[499, 702, 703, 852, 899, 1220]	0.5714	0.0000	0.2857	0.4286	1.0000	0.7143
15	15	Plaisant (Marcel)	Marcel Plaisant	[1, 224, 1388, 1389, 1621, 1627]	[1, 224, 1388, 1389, 1621, 1627]	0.5000	0.0000	0.2500	0.5000	1.0000	0.7500
16	16	Marguerie (Marquis de)	Marguerie (Marquis de)	[1322, 1362]	[1322, 1362]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
17	17	Roustan (Mario)	Mario Roustan, ministre de l'instruction publique	[157, 158, 289, 299, 575, 576, 577, 578, 579, 582, 585, 586, 589, 590, 593, 594, 596, 789, 791, 792, 793, 795, 1030, 1031, 1032, 1061, 1389, 1416, 1436, 1437, 1453, 1458, 1470, 1647, 1649, 1651, 1654]	[157, 158, 289, 299, 575, 576, 577, 578, 579, 582, 585, 586, 589, 590, 593, 594, 596, 789, 791, 792, 793, 795, 1030, 1031, 1032, 1061, 1416, 1436, 1437, 1453, 1458, 1470, 1647, 1649, 1651, 1654]	0.6250	0.0270	0.3260	0.3750	0.9730	0.6740
18	18	Marraud (Pierre)	Marraud (Pierre)	<renvoi d'index>	[1438]	0.0000	1.0000	0.5000	1.0000	0.0000	0.5000
19	19	Marrou (Baptiste)	Marrou (Baptiste)	[1694]	[1694]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
20	20	Martin (Louis)	Martin (Louis)	[583, 689, 1152, 1153, 1770, 1771, 1811]	[583, 689, 1152, 1153, 1770, 1771, 1811, 1770]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
21	21	Martin-Binachon	Martin-Binachon	[517, 1258, 1267, 1278]	[517, 1258, 1267, 1278]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
22	22	Mauger (Hippolyte)	Mauger (Hippolyte)	[29, 30, 135, 172]	[29, 29, 29, 135, 172, 172]	0.0000	0.2500	0.1250	1.0000	0.7500	0.8750
